地区,センター　,燃やせるごみ,燃やさないごみ,資源カン・ビン,乾電池,資源紙,資源布
本町,,月 木,水1 水3 水5,水2 水4,木,金,金
仲町,,月 木,水1 水3 水5,水2 水4,木,金,金
元町,,月 木,水1 水3 水5,水2 水4,木,金,金
泉町,,月 木,水1 水3 水5,水2 水4,木,金,金
泉町二丁目,,月 木,水1 水3 水5,水2 水4,木,金,金
泉町三丁目,,月 木,水1 水3 水5,水2 水4,木,金,金
芦山町,,月 木,水1 水3 水5,水2 水4,木,金,金
薬師町,,月 木,水1 水3 水5,水2 水4,木,金,金
溝端町,,月 木,水1 水3 水5,水2 水4,木,金,金
末広町,,月 木,水1 水3 水5,水2 水4,木,金,金
鎌倉町,,月 木,水1 水3 水5,水2 水4,木,金,金
清水町,,月 木,水1 水3 水5,水2 水4,木,金,金
柳町,,月 木,水1 水3 水5,水2 水4,木,金,金
山田町,,月 木,水1 水3 水5,水2 水4,木,金,金
八幡一丁目,,月 木,水1 水3 水5,水2 水4,木,金,金
八幡二丁目,,月 木,水1 水3 水5,水2 水4,木,金,金
大字坂戸,,月 木,水1 水3 水5,水2 水4,木,金,金
紺屋（東坂戸団地を除く）,,月 木,水1 水3 水5,水2 水4,木,火,火
横沼,,月 木,水1 水3 水5,水2 水4,木,火,火
小沼,,月 木,水1 水3 水5,水2 水4,木,火,火
青木,,月 木,水1 水3 水5,水2 水4,木,火,火
石井,,月 木,水1 水3 水5,水2 水4,木,火,火
島田,,月 木,水1 水3 水5,水2 水4,木,火,火
赤尾,,月 木,水1 水3 水5,水2 水4,木,火,火
塚越,,月 木,水1 水3 水5,水2 水4,木,火,火
南町,,月 木,水1 水3 水5,水2 水4,木,火,火
千代田四丁目7番（若葉台団地）,,月 木,水1 水3 水5,水2 水4,木,火,火
上吉田,,月 木,水1 水3 水5,水2 水4,木,火,火
片柳,,月 木,水1 水3 水5,水2 水4,木,火,火
片柳新田,,火 金,水1 水3 水5,水2 水4,木,火,火
紺屋の一部（東坂戸団地）,,火 金,水2 水4,水1 水3 水5,金,木,木
東坂戸一丁目,,火 金,水2 水4,水1 水3 水5,金,木,木
東坂戸二丁目,,火 金,水2 水4,水1 水3 水5,金,木,木
日の出町,,火 金,水2 水4,水1 水3 水5,金,木,木
花影町,,火 金,水2 水4,水1 水3 水5,金,木,木
三光町,,火 金,水2 水4,水1 水3 水5,金,木,木
中富町,,火 金,水2 水4,水1 水3 水5,金,木,木
関間一～四丁目,,火 金,水2 水4,水1 水3 水5,金,木,木
千代田一～五丁目（若葉台団地を除く）,,火 金,水2 水4,水1 水3 水5,金,木,木
浅羽,,火 金,水2 水4,水1 水3 水5,金,木,木
浅羽野一～三丁目,,火 金,水2 水4,水1 水3 水5,金,木,木
けやき大,,火 金,水2 水4,水1 水3 水5,金,木,木
西坂戸一～五丁目,,火 金,水2 水4,水1 水3 水5,金,木,木
伊豆の山町,,火 金,水2 水4,水1 水3 水5,金,月,月
新堀,,火 金,水2 水4,水1 水3 水5,金,月,月
小山,,火 金,水2 水4,水1 水3 水5,金,月,月
竹之内,,火 金,水2 水4,水1 水3 水5,金,月,月
北浅羽,,火 金,水2 水4,水1 水3 水5,金,月,月
金田,,火 金,水2 水4,水1 水3 水5,金,月,月
東和田,,火 金,水2 水4,水1 水3 水5,金,月,月
戸口,,火 金,水2 水4,水1 水3 水5,金,月,月
塚崎,,火 金,水2 水4,水1 水3 水5,金,月,月
北大塚,,火 金,水2 水4,水1 水3 水5,金,月,月
にっさい花みず木一～八丁目,,火 金,水2 水4,水1 水3 水5,金,月,月
堀米,,火 金,水2 水4,水1 水3 水5,金,月,月
善能寺,,火 金,水2 水4,水1 水3 水5,金,月,月
長岡,,火 金,水2 水4,水1 水3 水5,金,月,月
今西,,火 金,水2 水4,水1 水3 水5,金,月,月
沢木,,火 金,水2 水4,水1 水3 水5,金,月,月
新ヶ谷,,火 金,水2 水4,水1 水3 水5,金,月,月
中里,,火 金,水2 水4,水1 水3 水5,金,月,月
北峰,,火 金,水2 水4,水1 水3 水5,金,月,月
森戸,,火 金,水2 水4,水1 水3 水5,金,月,月
多和目,,火 金,水2 水4,水1 水3 水5,金,月,月
四日市場,,火 金,水2 水4,水1 水3 水5,金,月,月
厚川,,火 金,水2 水4,水1 水3 水5,金,月,月
萱方,,火 金,水2 水4,水1 水3 水5,金,月,月
欠ノ上,,火 金,水2 水4,水1 水3 水5,金,月,月
成願寺,,火 金,水2 水4,水1 水3 水5,金,月,月
鶴舞一～四丁目,,火 金,水2 水4,水1 水3 水5,金,月,月
